"Date Printed: Tuesday, April 12, 2022 10:24:43 PM"
Title: AIDS classifications | AIDS deaths | AIDS prevalence | Acute Viral Hepatitis B | Acute Viral Hepatitis C | Chlamydia | Congenital Syphilis | Early Non-Primary, Non-Secondary Syphilis | Estimated HIV incidence | Estimated HIV prevalence (undiagnosed and diagnosed) | Gonorrhea | HIV deaths | HIV diagnoses | HIV prevalence | HIV viral suppression | Hepatitis  A | Knowledge of Status | Linkage to HIV care | PrEP coverage and number of persons prescribed | Primary and Secondary Syphilis | Receipt of HIV medical care | 2017 | 2018 | 2019 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older
Footnote(s): For all HIV surveillance data: Data for the years 2020 and 2021 are preliminary (subject to a 12-month reporting lag). Rates are not reported until 12-month reporting lag complete.
Prevalence: Prevalence data for the year 2019 are preliminary and based on death data received by CDC as of December 2020. Trends through 2019 should be interpreted with caution. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. See Technical Notes for more information on death reporting by jurisdiction.
Death: Death data for the year 2019 are preliminary and based on death data received by CDC as of December 2020. Death data based on residence at death.
^ Jurisdiction with incomplete reporting of deaths for most recent year; relevant for HIV deaths, HIV prevalence, AIDS deaths, AIDS prevalence, knowledge of status, estimated HIV incidence, estimated HIV prevalence, and receipt of HIV medical care, and viral suppression indicators.
PrEP coverage, reported as a percentage, is calculated as the number of persons aged ≥16 years classified as having been prescribed PrEP divided by the estimated number of persons aged ≥16 years who had indications for PrEP.   Number prescribed, or “cases”, is defined as the number of persons aged ≥16 years classified as having been prescribed PrEP during the specified year and includes all FDA-approved drugs for PrEP.  “Population” is the annual estimated number of persons with PrEP indications. Total includes people categorized by IQVIA as Black, White, Hispanic, or Other race. Number prescribed are reported through September 2020. Data for which values are unknown were not reported; therefore, values may not sum to column total.
NA - Not applicable
 *Estimates with an RSE of 30%-50% should be used with caution because they do not meet the standard of reliability. Estimates with an RSE>50% are not shown.
 Linkage to care is based on newly diagnosed cases. Data for the years 2020 and 2021 are preliminary (subject to a 12-month reporting lag) and based on data received by CDC as of September 2021. See Technical notes for more details on data availability and stratifications.
 Receipt of care is based on persons living with HIV. See Technical notes for more details on data availability and stratifications.
 Viral suppression is based on persons living with HIV. See Technical notes for more details on data availability and stratifications.


Indicator,Year,Geography,FIPS,Cases (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE)
"Estimated HIV incidence","2018","Minnesota","27","290 (110 - 470, 31.4*)","6.2 (2.4 - 10.0)","NA"
"Estimated HIV incidence","2017","Minnesota","27","250 (110 - 390, 29.2)","5.3 (2.3 - 8.4)","NA"
"Early Non-Primary, Non-Secondary Syphilis","2019","Minnesota","27","367","7.8","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Minnesota","27","286","6.1","NA"
"Early Non-Primary, Non-Secondary Syphilis","2017","Minnesota","27","313","6.8","NA"
"Congenital Syphilis","2019","Minnesota","27","Data not available","Data not available","NA"
"Congenital Syphilis","2018","Minnesota","27","Data not available","Data not available","NA"
"Congenital Syphilis","2017","Minnesota","27","Data not available","Data not available","NA"
"Chlamydia","2019","Minnesota","27","24,458","520.0","NA"
"Chlamydia","2018","Minnesota","27","23,560","504.7","NA"
"Chlamydia","2017","Minnesota","27","23,528","508.3","NA"
"Acute Viral Hepatitis C","2019","Minnesota","27","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2018","Minnesota","27","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2017","Minnesota","27","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2019","Minnesota","27","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2018","Minnesota","27","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2017","Minnesota","27","Data not available","Data not available","NA"
"AIDS prevalence","2019","Minnesota","27","3,952","84.0","NA"
"AIDS prevalence","2018","Minnesota","27","3,882","83.2","NA"
"AIDS prevalence","2017","Minnesota","27","3,818","82.5","NA"
"AIDS deaths","2019","Minnesota","27","57","1.2","NA"
"AIDS deaths","2018","Minnesota","27","65","1.4","NA"
"AIDS deaths","2017","Minnesota","27","69","1.5","NA"
"AIDS classifications","2019","Minnesota","27","121","2.6","NA"
"AIDS classifications","2018","Minnesota","27","132","2.8","NA"
"AIDS classifications","2017","Minnesota","27","145","3.1","NA"
"Receipt of HIV medical care","2019","Mississippi","28","6,830","NA","73.0"
"Receipt of HIV medical care","2018","Mississippi","28","6,558","NA","72.8"
"Receipt of HIV medical care","2017","Mississippi","28","6,309","NA","70.7"
"Primary and Secondary Syphilis","2019","Mississippi","28","689","27.8","NA"
"Primary and Secondary Syphilis","2018","Mississippi","28","464","18.7","NA"
"Primary and Secondary Syphilis","2017","Mississippi","28","310","12.5","NA"
"PrEP coverage and number of persons prescribed","2019","Mississippi","28","938","NA","20.7"
"PrEP coverage and number of persons prescribed","2018","Mississippi","28","653","NA","14.4"
"PrEP coverage and number of persons prescribed","2017","Mississippi","28","469","NA","9.3"
"Linkage to HIV care","2019","Mississippi","28","339","NA","71.1"
"Linkage to HIV care","2018","Mississippi","28","357","NA","74.8"
"Linkage to HIV care","2017","Mississippi","28","301","NA","70.3"
"Knowledge of Status","2019","Mississippi","28","9,712","NA","80.3 (74.7 - 86.7, 3.8)"
"Knowledge of Status","2018","Mississippi","28","9,395","NA","80.2 (74.9 - 86.3, 3.6)"
"Knowledge of Status","2017","Mississippi","28","9,203","NA","79.6 (74.6 - 85.3, 3.4)"
"Hepatitis  A","2019","Mississippi","28","Data not available","Data not available","NA"
"Hepatitis  A","2018","Mississippi","28","Data not available","Data not available","NA"
"Hepatitis  A","2017","Mississippi","28","Data not available","Data not available","NA"
"HIV viral suppression","2019","Mississippi","28","5,043","NA","53.9"
"HIV viral suppression","2018","Mississippi","28","4,536","NA","50.3"
"HIV viral suppression","2017","Mississippi","28","4,418","NA","49.5"
"HIV prevalence","2019","Mississippi","28","9,832","396.7","NA"
"HIV prevalence","2018","Mississippi","28","9,510","384.1","NA"
"HIV prevalence","2017","Mississippi","28","9,315","376.0","NA"
"HIV diagnoses","2019","Mississippi","28","477","19.2","NA"
"HIV diagnoses","2018","Mississippi","28","476","19.2","NA"
"HIV diagnoses","2017","Mississippi","28","428","17.3","NA"
"HIV deaths","2019","Mississippi","28","129","5.2","NA"
"HIV deaths","2018","Mississippi","28","229","9.2","NA"
"HIV deaths","2017","Mississippi","28","220","8.9","NA"
"Gonorrhea","2019","Mississippi","28","12,055","486.4","NA"
"Gonorrhea","2018","Mississippi","28","9,731","393.0","NA"
"Gonorrhea","2017","Mississippi","28","9,237","372.8","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","Mississippi","28","12,100 (11,200 - 13,000, 3.8)","488.3 (451.9 - 524.6)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Mississippi","28","11,700 (10,900 - 12,500, 3.6)","473.2 (439.8 - 506.5)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2017","Mississippi","28","11,600 (10,800 - 12,300, 3.4)","466.5 (435.2 - 497.8)","NA"
"Estimated HIV incidence","2019","Mississippi","28","550 (190 - 900, 32.9*)","22.1 (7.8 - 36.3)","NA"
"Estimated HIV incidence","2018","Mississippi","28","440 (160 - 720, 32.4*)","17.7 (6.5 - 29.0)","NA"
"Estimated HIV incidence","2017","Mississippi","28","480 (230 - 720, 26.1)","19.2 (9.4 - 29.0)","NA"
"Early Non-Primary, Non-Secondary Syphilis","2019","Mississippi","28","1,218","49.1","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Mississippi","28","937","37.8","NA"
"Early Non-Primary, Non-Secondary Syphilis","2017","Mississippi","28","555","22.4","NA"
"Congenital Syphilis","2019","Mississippi","28","Data not available","Data not available","NA"
"Congenital Syphilis","2018","Mississippi","28","Data not available","Data not available","NA"
"Congenital Syphilis","2017","Mississippi","28","Data not available","Data not available","NA"
"Chlamydia","2019","Mississippi","28","25,264","1019.3","NA"
"Chlamydia","2018","Mississippi","28","22,067","891.3","NA"
"Chlamydia","2017","Mississippi","28","21,106","851.8","NA"
"Acute Viral Hepatitis C","2019","Mississippi","28","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2018","Mississippi","28","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2017","Mississippi","28","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2019","Mississippi","28","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2018","Mississippi","28","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2017","Mississippi","28","Data not available","Data not available","NA"
"AIDS prevalence","2019","Mississippi","28","4,757","191.9","NA"
"AIDS prevalence","2018","Mississippi","28","4,619","186.6","NA"
"AIDS prevalence","2017","Mississippi","28","4,559","184.0","NA"
"AIDS deaths","2019","Mississippi","28","85","3.4","NA"
"AIDS deaths","2018","Mississippi","28","188","7.6","NA"
"AIDS deaths","2017","Mississippi","28","174","7.0","NA"
"AIDS classifications","2019","Mississippi","28","239","9.6","NA"
"AIDS classifications","2018","Mississippi","28","259","10.5","NA"
"AIDS classifications","2017","Mississippi","28","244","9.8","NA"
"Receipt of HIV medical care","2019","Missouri","29","9,630","NA","78.2"
"Receipt of HIV medical care","2018","Missouri","29","9,334","NA","76.7"
"Receipt of HIV medical care","2017","Missouri","29","9,447","NA","80.1"
"Primary and Secondary Syphilis","2019","Missouri","29","817","15.8","NA"
"Primary and Secondary Syphilis","2018","Missouri","29","806","15.7","NA"
"Primary and Secondary Syphilis","2017","Missouri","29","507","9.9","NA"
"PrEP coverage and number of persons prescribed","2019","Missouri","29","3,474","NA","18.9"
"PrEP coverage and number of persons prescribed","2018","Missouri","29","2,741","NA","14.9"
"PrEP coverage and number of persons prescribed","2017","Missouri","29","1,893","NA","9.7"
"Linkage to HIV care","2019","Missouri","29","376","NA","77.0"
"Linkage to HIV care","2018","Missouri","29","316","NA","70.7"
"Linkage to HIV care","2017","Missouri","29","364","NA","72.2"
"Knowledge of Status","2019","Missouri","29","12,703","NA","87.3 (82.6 - 92.6, 2.9)"
"Knowledge of Status","2018","Missouri","29","12,461","NA","86.9 (82.3 - 92.0, 2.8)"
"Knowledge of Status","2017","Missouri","29","12,149","NA","86.8 (82.3 - 91.8, 2.8)"
"Hepatitis  A","2019","Missouri","29","Data not available","Data not available","NA"
"Hepatitis  A","2018","Missouri","29","Data not available","Data not available","NA"
"Hepatitis  A","2017","Missouri","29","Data not available","Data not available","NA"
"HIV viral suppression","2019","Missouri","29","8,277","NA","67.2"
"HIV viral suppression","2018","Missouri","29","7,746","NA","63.6"
"HIV viral suppression","2017","Missouri","29","7,820","NA","66.3"
"HIV prevalence","2019","Missouri","29","12,803","248.3","NA"
"HIV prevalence","2018","Missouri","29","12,555","244.5","NA"
"HIV prevalence","2017","Missouri","29","12,234","239.2","NA"
"HIV diagnoses","2019","Missouri","29","488","9.5","NA"
"HIV diagnoses","2018","Missouri","29","449","8.7","NA"
"HIV diagnoses","2017","Missouri","29","502","9.8","NA"
"HIV deaths","2019","Missouri","29","227","4.4","NA"
"HIV deaths","2018","Missouri","29","238","4.6","NA"
"HIV deaths","2017","Missouri","29","214","4.2","NA"
"Gonorrhea","2019","Missouri","29","15,579","302.1","NA"
"Gonorrhea","2018","Missouri","29","15,079","293.7","NA"
"Gonorrhea","2017","Missouri","29","13,072","255.5","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","Missouri","29","14,500 (13,700 - 15,400, 2.9)","282.1 (266.0 - 298.2)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Missouri","29","14,300 (13,500 - 15,100, 2.8)","279.4 (263.9 - 294.9)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2017","Missouri","29","14,000 (13,200 - 14,800, 2.8)","273.8 (258.8 - 288.7)","NA"
"Estimated HIV incidence","2019","Missouri","29","450 (220 - 680, 26.3)","8.7 (4.2 - 13.1)","NA"
"Estimated HIV incidence","2018","Missouri","29","480 (270 - 690, 22.5)","9.3 (5.2 - 13.4)","NA"
"Estimated HIV incidence","2017","Missouri","29","520 (340 - 700, 17.9)","10.2 (6.6 - 13.7)","NA"
"Early Non-Primary, Non-Secondary Syphilis","2019","Missouri","29","647","12.5","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Missouri","29","546","10.6","NA"
"Early Non-Primary, Non-Secondary Syphilis","2017","Missouri","29","423","8.3","NA"
"Congenital Syphilis","2019","Missouri","29","Data not available","Data not available","NA"
"Congenital Syphilis","2018","Missouri","29","Data not available","Data not available","NA"
"Congenital Syphilis","2017","Missouri","29","Data not available","Data not available","NA"
"Chlamydia","2019","Missouri","29","34,391","666.9","NA"
"Chlamydia","2018","Missouri","29","34,702","675.8","NA"
"Chlamydia","2017","Missouri","29","32,664","638.5","NA"
"Acute Viral Hepatitis C","2019","Missouri","29","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2018","Missouri","29","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2017","Missouri","29","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2019","Missouri","29","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2018","Missouri","29","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2017","Missouri","29","Data not available","Data not available","NA"
"AIDS prevalence","2019","Missouri","29","6,423","124.6","NA"
"AIDS prevalence","2018","Missouri","29","6,365","124.0","NA"
"AIDS prevalence","2017","Missouri","29","6,288","122.9","NA"
"AIDS deaths","2019","Missouri","29","164","3.2","NA"
"AIDS deaths","2018","Missouri","29","179","3.5","NA"
"AIDS deaths","2017","Missouri","29","155","3.0","NA"
"AIDS classifications","2019","Missouri","29","233","4.5","NA"
"AIDS classifications","2018","Missouri","29","218","4.2","NA"
"AIDS classifications","2017","Missouri","29","176","3.4","NA"
"Receipt of HIV medical care","2019","Montana","30","569","NA","89.2"
"Receipt of HIV medical care","2018","Montana","30","560","NA","90.5"
"Receipt of HIV medical care","2017","Montana","30","514","NA","88.3"
"Primary and Secondary Syphilis","2019","Montana","30","67","7.4","NA"
"Primary and Secondary Syphilis","2018","Montana","30","45","5.0","NA"
"Primary and Secondary Syphilis","2017","Montana","30","48","5.4","NA"
"PrEP coverage and number of persons prescribed","2019","Montana","30","267","NA","11.7"
"PrEP coverage and number of persons prescribed","2018","Montana","30","185","NA","8.1"
"PrEP coverage and number of persons prescribed","2017","Montana","30","122","NA","4.4"
"Linkage to HIV care","2019","Montana","30","22","NA","88.0"
"Linkage to HIV care","2018","Montana","30","21","NA","91.3"
"Linkage to HIV care","2017","Montana","30","27","NA","87.1"
"Knowledge of Status","2019","Montana","30","666","NA","88.5 (72.7 - 100.0, 7.9)"
"Knowledge of Status","2018","Montana","30","638","NA","87.1 (71.8 - 100.0, 8.3)"
"Knowledge of Status","2017","Montana","30","615","NA","87.0 (72.0 - 100.0, 8.2)"
"Hepatitis  A","2019","Montana","30","Data not available","Data not available","NA"
"Hepatitis  A","2018","Montana","30","Data not available","Data not available","NA"
"Hepatitis  A","2017","Montana","30","Data not available","Data not available","NA"
"HIV viral suppression","2019","Montana","30","535","NA","83.9"
"HIV viral suppression","2018","Montana","30","507","NA","81.9"
"HIV viral suppression","2017","Montana","30","463","NA","79.6"
"HIV prevalence","2019","Montana","30","669","74.0","NA"
"HIV prevalence","2018","Montana","30","641","71.6","NA"
"HIV prevalence","2017","Montana","30","618","69.7","NA"
"HIV diagnoses","2019","Montana","30","25","2.8","NA"
"HIV diagnoses","2018","Montana","30","23","2.6","NA"
"HIV diagnoses","2017","Montana","30","32","3.6","NA"
"HIV deaths","2019","Montana","30","8","0.9","NA"
"HIV deaths","2018","Montana","30","13","1.5","NA"
"HIV deaths","2017","Montana","30","15","1.7","NA"
"Gonorrhea","2019","Montana","30","1,593","176.2","NA"
"Gonorrhea","2018","Montana","30","1,179","131.7","NA"
"Gonorrhea","2017","Montana","30","779","87.9","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","Montana","30","750 (670 - 920, 11.1)","83.2 (73.7 - 101.3)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Montana","30","730 (640 - 890, 10.8)","81.8 (71.2 - 99.2)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2017","Montana","30","710 (620 - 850, 10.6)","79.7 (69.4 - 96.3)","NA"
"Estimated HIV incidence","2019","Montana","30","Data suppressed","Data suppressed","NA"
"Estimated HIV incidence","2018","Montana","30","Data suppressed","Data suppressed","NA"
"Estimated HIV incidence","2017","Montana","30","Data suppressed","Data suppressed","NA"
"Early Non-Primary, Non-Secondary Syphilis","2019","Montana","30","25","2.8","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Montana","30","25","2.8","NA"
"Early Non-Primary, Non-Secondary Syphilis","2017","Montana","30","23","2.6","NA"
"Congenital Syphilis","2019","Montana","30","Data not available","Data not available","NA"
"Congenital Syphilis","2018","Montana","30","Data not available","Data not available","NA"
"Congenital Syphilis","2017","Montana","30","Data not available","Data not available","NA"
"Chlamydia","2019","Montana","30","4,734","523.5","NA"
"Chlamydia","2018","Montana","30","4,898","546.9","NA"
"Chlamydia","2017","Montana","30","4,542","512.3","NA"
"Acute Viral Hepatitis C","2019","Montana","30","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2018","Montana","30","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2017","Montana","30","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2019","Montana","30","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2018","Montana","30","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2017","Montana","30","Data not available","Data not available","NA"
"AIDS prevalence","2019","Montana","30","341","37.7","NA"
"AIDS prevalence","2018","Montana","30","344","38.4","NA"
"AIDS prevalence","2017","Montana","30","335","37.8","NA"
"AIDS deaths","2019","Montana","30","7","0.8","NA"
"AIDS deaths","2018","Montana","30","10","1.1","NA"
"AIDS deaths","2017","Montana","30","13","1.5","NA"
"AIDS classifications","2019","Montana","30","10","1.1","NA"
"AIDS classifications","2018","Montana","30","9","1.0","NA"
"AIDS classifications","2017","Montana","30","11","1.2","NA"
"Receipt of HIV medical care","2019","Nebraska","31","1,652","NA","76.8"
"Receipt of HIV medical care","2018","Nebraska","31","1,615","NA","77.1"
"Receipt of HIV medical care","2017","Nebraska","31","1,543","NA","76.1"
"Primary and Secondary Syphilis","2019","Nebraska","31","135","8.5","NA"
"Primary and Secondary Syphilis","2018","Nebraska","31","119","7.5","NA"
"Primary and Secondary Syphilis","2017","Nebraska","31","43","2.7","NA"
"PrEP coverage and number of persons prescribed","2019","Nebraska","31","614","NA","28.2"
"PrEP coverage and number of persons prescribed","2018","Nebraska","31","472","NA","21.7"
"PrEP coverage and number of persons prescribed","2017","Nebraska","31","348","NA","13.4"
"Linkage to HIV care","2019","Nebraska","31","65","NA","80.2"
"Linkage to HIV care","2018","Nebraska","31","64","NA","81.0"
"Linkage to HIV care","2017","Nebraska","31","69","NA","78.4"
"Knowledge of Status","2019","Nebraska","31","2,204","NA","85.1 (75.0 - 98.3, 7.0)"
"Knowledge of Status","2018","Nebraska","31","2,133","NA","85.0 (75.2 - 97.6, 6.7)"
"Knowledge of Status","2017","Nebraska","31","2,087","NA","84.1 (74.8 - 96.2, 6.5)"
"Hepatitis  A","2019","Nebraska","31","Data not available","Data not available","NA"
"Hepatitis  A","2018","Nebraska","31","Data not available","Data not available","NA"
"Hepatitis  A","2017","Nebraska","31","Data not available","Data not available","NA"
"HIV viral suppression","2019","Nebraska","31","1,355","NA","63.0"
"HIV viral suppression","2018","Nebraska","31","1,383","NA","66.0"
"HIV viral suppression","2017","Nebraska","31","1,311","NA","64.7"
"HIV prevalence","2019","Nebraska","31","2,236","140.6","NA"
"HIV prevalence","2018","Nebraska","31","2,162","136.8","NA"
"HIV prevalence","2017","Nebraska","31","2,112","134.5","NA"
"HIV diagnoses","2019","Nebraska","31","81","5.1","NA"
"HIV diagnoses","2018","Nebraska","31","79","5.0","NA"
"HIV diagnoses","2017","Nebraska","31","88","5.6","NA"
"HIV deaths","2019","Nebraska","31","31","1.9","NA"
"HIV deaths","2018","Nebraska","31","31","2.0","NA"
"HIV deaths","2017","Nebraska","31","33","2.1","NA"
"Gonorrhea","2019","Nebraska","31","2,966","186.5","NA"
"Gonorrhea","2018","Nebraska","31","2,694","170.4","NA"
"Gonorrhea","2017","Nebraska","31","2,651","168.8","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","Nebraska","31","2,600 (2,200 - 2,900, 6.9)","162.9 (141.0 - 184.8)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Nebraska","31","2,500 (2,200 - 2,800, 6.6)","158.8 (138.3 - 179.4)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2017","Nebraska","31","2,500 (2,200 - 2,800, 6.4)","158.0 (138.2 - 177.8)","NA"
"Estimated HIV incidence","2019","Nebraska","31","Data suppressed","Data suppressed","NA"
"Estimated HIV incidence","2018","Nebraska","31","Data suppressed","Data suppressed","NA"
"Estimated HIV incidence","2017","Nebraska","31","110 (20 - 200, 42.9*)","7.0 (1.1 - 12.9)","NA"
"Early Non-Primary, Non-Secondary Syphilis","2019","Nebraska","31","46","2.9","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Nebraska","31","37","2.3","NA"
"Early Non-Primary, Non-Secondary Syphilis","2017","Nebraska","31","26","1.7","NA"
"Congenital Syphilis","2019","Nebraska","31","Data not available","Data not available","NA"
"Congenital Syphilis","2018","Nebraska","31","Data not available","Data not available","NA"
"Congenital Syphilis","2017","Nebraska","31","Data not available","Data not available","NA"
"Chlamydia","2019","Nebraska","31","9,282","583.5","NA"
"Chlamydia","2018","Nebraska","31","8,015","507.1","NA"
"Chlamydia","2017","Nebraska","31","8,582","546.6","NA"
"Acute Viral Hepatitis C","2019","Nebraska","31","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2018","Nebraska","31","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2017","Nebraska","31","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2019","Nebraska","31","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2018","Nebraska","31","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2017","Nebraska","31","Data not available","Data not available","NA"
"AIDS prevalence","2019","Nebraska","31","1,075","67.6","NA"
"AIDS prevalence","2018","Nebraska","31","1,048","66.3","NA"
"AIDS prevalence","2017","Nebraska","31","1,044","66.5","NA"
"AIDS deaths","2019","Nebraska","31","16","1.0","NA"
"AIDS deaths","2018","Nebraska","31","24","1.5","NA"
"AIDS deaths","2017","Nebraska","31","23","1.5","NA"
"AIDS classifications","2019","Nebraska","31","40","2.5","NA"
"AIDS classifications","2018","Nebraska","31","38","2.4","NA"
"AIDS classifications","2017","Nebraska","31","32","2.0","NA"
"Receipt of HIV medical care","2019","Nevada","32","7,047","NA","68.9"
"Receipt of HIV medical care","2018","Nevada","32","7,218","NA","74.2"
"Receipt of HIV medical care","2017","Nevada","32","Data not available","NA","Data not available"
"Primary and Secondary Syphilis","2019","Nevada","32","Data suppressed","Data suppressed","NA"
"Primary and Secondary Syphilis","2018","Nevada","32","682","27.0","NA"
"Primary and Secondary Syphilis","2017","Nevada","32","587","23.7","NA"
"PrEP coverage and number of persons prescribed","2019","Nevada","32","2,161","NA","19.0"
"PrEP coverage and number of persons prescribed","2018","Nevada","32","1,487","NA","13.1"
"PrEP coverage and number of persons prescribed","2017","Nevada","32","1,056","NA","9.7"
"Linkage to HIV care","2019","Nevada","32","425","NA","83.0"
"Linkage to HIV care","2018","Nevada","32","441","NA","87.7"
"Linkage to HIV care","2017","Nevada","32","Data not available","NA","Data not available"
"Knowledge of Status","2019","Nevada","32","10,650","NA","80.6 (75.8 - 86.0, 3.2)"
"Knowledge of Status","2018","Nevada","32","10,085","NA","81.2 (76.7 - 86.4, 3.0)"
"Knowledge of Status","2017","Nevada","32","9,473","NA","81.0 (76.6 - 86.1, 3.0)"
"Hepatitis  A","2019","Nevada","32","Data not available","Data not available","NA"
"Hepatitis  A","2018","Nevada","32","Data not available","Data not available","NA"
"Hepatitis  A","2017","Nevada","32","Data not available","Data not available","NA"
"HIV viral suppression","2019","Nevada","32","5,911","NA","57.8"
"HIV viral suppression","2018","Nevada","32","6,115","NA","62.9"
"HIV viral suppression","2017","Nevada","32","Data not available","NA","Data not available"
"HIV prevalence","2019","Nevada","32","10,733","415.8","NA"
"HIV prevalence","2018","Nevada","32","10,158","401.4","NA"
"HIV prevalence","2017","Nevada","32","9,542","385.1","NA"
"HIV diagnoses","2019","Nevada","32","512","19.8","NA"
"HIV diagnoses","2018","Nevada","32","501","19.8","NA"
"HIV diagnoses","2017","Nevada","32","494","19.9","NA"
"HIV deaths","2019","Nevada","32","87","3.4","NA"
"HIV deaths","2018","Nevada","32","146","5.8","NA"
"HIV deaths","2017","Nevada","32","175","7.1","NA"
"Gonorrhea","2019","Nevada","32","6,512","252.3","NA"
"Gonorrhea","2018","Nevada","32","6,468","255.6","NA"
"Gonorrhea","2017","Nevada","32","5,513","222.5","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","Nevada","32","13,200 (12,400 - 14,000, 3.2)","511.8 (479.7 - 544.0)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Nevada","32","12,400 (11,700 - 13,200, 3.0)","490.5 (461.3 - 519.8)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2017","Nevada","32","11,700 (11,000 - 12,400, 3.0)","471.8 (444.2 - 499.4)","NA"
"Estimated HIV incidence","2019","Nevada","32","740 (380 - 1,100, 25.0)","28.9 (14.7 - 43.0)","NA"
"Estimated HIV incidence","2018","Nevada","32","610 (330 - 890, 23.3)","24.1 (13.1 - 35.1)","NA"
"Estimated HIV incidence","2017","Nevada","32","570 (330 - 800, 20.9)","22.8 (13.5 - 32.2)","NA"
"Early Non-Primary, Non-Secondary Syphilis","2019","Nevada","32","522","20.2","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Nevada","32","512","20.2","NA"
"Early Non-Primary, Non-Secondary Syphilis","2017","Nevada","32","498","20.1","NA"
"Congenital Syphilis","2019","Nevada","32","Data not available","Data not available","NA"
"Congenital Syphilis","2018","Nevada","32","Data not available","Data not available","NA"
"Congenital Syphilis","2017","Nevada","32","Data not available","Data not available","NA"
"Chlamydia","2019","Nevada","32","17,819","690.3","NA"
"Chlamydia","2018","Nevada","32","17,494","691.4","NA"
"Chlamydia","2017","Nevada","32","16,251","655.9","NA"
"Acute Viral Hepatitis C","2019","Nevada","32","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2018","Nevada","32","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2017","Nevada","32","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2019","Nevada","32","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2018","Nevada","32","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2017","Nevada","32","Data not available","Data not available","NA"
"AIDS prevalence","2019","Nevada","32","4,982","193.0","NA"
"AIDS prevalence","2018","Nevada","32","4,796","189.5","NA"
